City_ID,City_Name,City_CountryCode,City_IATACode,City_Latitude,City_Longitude,City_RadiusOverrideMI
232879,Andorra,AD,AD1,42.5457839000,1.5778194000,12.0
232852,"Arinsal, Andorra",AD,AD1,42.5749768000,1.4817611000,1.0
232856,"Canillo, Andorra",AD,AD1,42.5869461000,1.6391513000,12.0
419,"Abu Dhabi, United Arab Emirates",AE,AUH,24.4329132147,54.4408247148,25.0
26766,"Ajman, Ajman, United Arab Emirates",AE,DXB,25.4051335890,55.5102270693,5.0
2198,"Al-fujairah, United Arab Emirates",AE,DXB,25.1197025556,56.3333015820,4.0
26699,"Dubai Coast, Dubai, United Arab Emirates",AE,DXB,25.1167280000,55.1304700000,5.0
1865,"Dubai, United Arab Emirates",AE,AE1,25.0490889376,55.1180329667,28.0
26726,"Jumeirah, Dubai, United Arab Emirates",AE,DXB,25.2055510000,55.2392160000,3.0
6258,"Ras Al Khaimah, United Arab Emirates",AE,DXB,25.7906720446,55.9780272754,19.0
57739,"Antigua, Antigua and Barbuda",AG,ANU,17.0880030000,-61.7941500000,10.0
537,"Barbuda, Antigua and Barbuda",AG,BBQ,17.5555550000,-61.7650000000,10.0
232858,"Arlberg (The), Austria",AT,INN,47.1675533000,10.1202145000,12.0
225204,"Sankt Gallenkirch, Vorarlberg, Austria",AT,ZRH,47.0209099820,9.9744661361,2.0
233007,"Solden, Austria",AT,INN,46.9640714420,11.0083616921,3.0
285,"St Anton, Austria",AT,AT1,47.1302666527,10.2697717512,2.0
7754,"Vienna, Austria",AT,VIE,48.2081740000,16.3738190000,4.0
81,"Adelaide, South Australia, Australia",AU,ADL,-34.9286210000,138.5999590000,11.0
810,"Brisbane, Queensland, Australia",AU,BNE,-27.4709330000,153.0235020000,12.0
1381,"Cairns, Queensland, Australia",AU,CNS,-16.9212127042,145.7677729102,12.0
1124,"Canberra, Australian Capital Territory, Australia",AU,CBR,-35.2804489067,149.1259753223,12.0
5398,"Gold Coast, Queensland, Australia",AU,OOL,-28.0171482025,153.4073965918,30.0
4433,"Melbourne, Victoria, Australia",AU,MEL,-37.8131870000,144.9629800000,14.0
6979,"Sydney, New South Wales, Australia",AU,SYD,-33.8734619341,151.2113825344,10.0
413,"Aruba, Aruba",AW,AUA,12.5149585926,-69.9644465234,10.5
46305,"Bosnia, Bosnia and Herzegovina",BA,TZL,44.1681423865,17.9200264531,60.0
232761,"Barbados, Barbados",BB,BGI,13.1466631050,-59.5898054838,14.0
647,"Bridgetown, Barbados",BB,BGI,13.0944426034,-59.6100579004,3.0
232977,"St. James, Barbados",BB,BGI,13.1842610212,-59.6330567964,3.0
903,"Brussels, Belgium",BE,BRU,50.8503400000,4.3517100000,6.0
164060,"Ghent City Centre, Belgium",BE,BRU,51.0542839037,3.7232998466,10.0
214780,"Albena, Dobrich Province, Bulgaria",BG,VAR,43.3656430000,28.0817870000,3.0
